City,Day,DewPoint,FirstTeam,FirstToBat,Humidity,Month,Result,SecondTeam,Temp,Venue,WindSpeed,Winner,Year
27,17,13,10,1,81,6,0,4,17,28,20,0,2015
13,13,23,3,1,75,4,0,13,27,13,20,0,2007
75,9,9,18,1,92,5,0,10,10,84,8,1,2014
19,3,20,12,1,76,2,0,11,26,40,9,1,2009
23,31,14,6,0,33,5,2,2,32,23,13,0,2015
23,29,10,6,1,54,10,0,5,22,23,3,1,2007
76,8,12,11,0,44,12,0,7,24,85,7,0,2011
66,22,24,3,0,84,9,0,11,26,73,5,0,2006
1,28,16,1,0,71,11,0,2,22,1,0,0,2014
36,3,0,2,1,35,5,0,1,16,37,8,1,2013
61,5,18,11,1,60,12,0,7,26,65,2,1,2011
8,7,7,13,0,57,3,0,2,14,8,16,0,2015
9,19,21,7,1,66,3,0,2,28,9,9,0,2007
29,25,13,4,0,71,1,1,11,18,30,13,0,2014
1,23,20,6,1,43,3,0,7,31,1,2,0,2011
37,15,16,4,0,68,1,0,12,21,38,6,1,2015
11,27,12,6,0,65,12,0,12,17,11,9,1,2013
28,18,7,5,1,62,9,0,2,15,29,13,0,2006
72,3,14,1,1,72,12,0,2,20,82,0,0,2006
27,17,7,10,1,67,9,0,3,13,28,12,1,2009
45,13,7,13,1,65,6,0,10,14,48,14,1,2006
5,25,10,10,0,59,6,0,4,18,27,17,1,2008
41,8,24,11,1,83,10,0,7,28,43,8,1,2014
1,12,25,1,1,76,5,0,11,28,1,1,1,2007
3,3,24,11,1,69,7,0,12,31,3,20,0,2008
29,26,11,4,1,70,12,0,1,16,30,25,0,2007
68,11,16,11,0,64,11,0,6,22,78,2,0,2007
61,4,13,4,1,42,3,0,2,26,65,7,0,2011
16,6,12,11,1,44,3,0,7,26,16,20,0,2015
34,15,16,5,1,80,1,0,11,18,35,16,1,2011
54,6,14,4,0,84,2,0,3,18,58,23,1,2016
54,21,9,4,0,72,3,0,7,14,58,20,0,2015
56,25,18,5,0,73,1,0,7,23,60,20,1,2015
30,28,23,7,1,69,5,0,5,28,31,6,1,2010
26,18,7,11,1,43,11,0,6,20,26,9,1,2007
